GyroY,MagZ,AngY,MagX,MagY,AngX,AngZ,AccX,AccY,AccZ,Timestamp,GyroZ,GyroX,Tag
0.0,76.54166,-4.63623,55.91667,-87.94167,90.36255,26.62537,0.07275391,1.005859,-0.14257809999999999,0,-0.06103516,-0.06103516,1
0.42724609999999996,-0.05,-4.65271,17.175,-2.483333,90.30762,26.58691,0.07275391,1.012695,-0.1401367,272,0.12207029999999999,-0.3662109,1
1002.869,-0.025,14.81506,17.10833,-2.325,26.57043,0.0,0.02832031,3.262695,-5.155762,392,-51.94092,560.2417,1
1002.563,-0.03333333,14.81506,17.2,-2.358333,26.64734,0.0,0.02832031,3.263184,-5.155273,492,-52.55127,559.6313,1
0.12207029999999999,76.35833,-4.817505,55.70833,-88.09167,90.20874,26.7627,0.078125,1.004883,-0.137207,602,0.5493163999999999,0.3662109,1
0.0,76.575,-4.883423,55.69167,-88.06667,90.26917,26.7627,0.08251953000000001,1.004883,-0.1401367,822,0.24414059999999999,0.0,1
-0.3662109,76.55833,-4.883423,55.71667,-88.0,90.26367,26.7627,0.08105469,1.00293,-0.13916019999999998,1022,0.06103516,0.0,1
0.0,76.55833,-4.883423,55.55833,-88.15,90.25818,26.72974,0.08105469,1.008789,-0.1386719,1232,0.1831055,-0.06103516,1
0.3051758,76.675,-4.899902,55.575,-88.1,90.2417,26.77368,0.08154297,1.001953,-0.1386719,1442,0.24414059999999999,-0.06103516,1
0.4882813,0.025,-4.9493409999999995,17.19167,-2.433333,90.20325,26.82312,0.08300781,1.004883,-0.1376953,1652,0.42724609999999996,0.4882813,1
0.9765625,-0.075,-5.053711,17.10833,-2.3,90.12634,26.9165,0.08642578000000001,1.002441,-0.13525389999999998,1902,0.793457,-0.8544921999999999,1
0.9765625,-0.025,-5.053711,17.16667,-2.291667,90.12634,26.9165,0.08642578000000001,1.002441,-0.13525389999999998,1902,0.793457,-0.8544921999999999,1
0.9765625,-0.008333334000000001,-5.053711,17.15833,-2.35,90.12634,26.9165,0.08642578000000001,1.002441,-0.13525389999999998,1902,0.793457,-0.8544921999999999,1
-0.6103516,0.025,-5.202026,17.125,-2.316667,90.08789,27.06482,0.08837892,1.003906,-0.1342773,2542,0.06103516,0.42724609999999996,1
0.4882813,0.03333333,-5.218506,17.18333,-2.258333,90.05493,27.03735,0.08642578000000001,1.00293,-0.1337891,2752,-0.06103516,0.06103516,1
-0.06103516,76.64167,-5.180054,55.36666,-88.4,90.07141,27.09778,0.09716797,1.009277,-0.144043,3002,-0.1831055,-0.24414059999999999,1
0.0,0.1666667,-5.328369,17.19167,-2.416667,89.99451,27.57568,0.08251953000000001,1.008789,-0.1254883,3302,1.403809,-0.3051758,1
-3.601074,76.425,-5.289917,55.48333,-88.35,90.24719,27.03186,0.08203125,1.004395,-0.1333008,3612,-1.159668,-0.1831055,1
3.845215,0.3333333,-5.2624509999999995,17.0,-2.133333,90.14282,27.0813,0.08642578000000001,1.007324,-0.13916019999999998,3962,2.807617,0.7324219,1
-0.1831055,76.79166,-5.526123,55.05,-88.35833,90.41748,26.97144,0.0859375,0.9926758,-0.15478519999999998,4332,-0.9155272,0.0,1
2.380371,-0.008333334000000001,-5.432739,16.9,-2.183333,90.24719,26.84509,0.08496094,1.001953,-0.1328125,4672,1.037598,0.3051758,1
1.8310549999999999,76.69167,-5.515137,55.20833,-88.41666,90.32959,26.922,0.08056642,0.9956056,-0.1254883,5042,0.9765625,-0.6713867,1
-1.281738,-0.17500000000000002,-5.6524659999999995,17.15833,-2.291667,90.21973,27.08679,0.08349608,0.9965818999999999,-0.152832,5402,0.8544921999999999,-0.9155272,1
0.793457,76.83334,-5.899658,54.68333,-88.75833,89.62646,27.85034,0.09326172,0.9912108,-0.1157227,5752,-0.24414059999999999,-0.1831055,1
-4.455566,-0.2,-5.83374,17.00833,-2.458333,90.23071,27.51526,0.1376953,1.015625,-0.1386719,6102,0.1831055,0.0,1
-5.67627,-0.2,-5.976563,17.125,-2.483333,90.0769,27.77893,0.09960938,1.007813,-0.11474609999999999,6482,-2.075195,5.92041,1
-1.89209,0.04166667,-5.844727,17.04167,-2.308333,90.5603,26.57593,0.1176758,1.00293,-0.15917969999999998,6882,-1.220703,0.9765625,1
0.0,0.04166667,-5.74585,17.24167,-2.383333,90.51086,26.60339,0.09570313,1.006836,-0.1420898,7312,-0.4882813,0.3051758,1
-2.319336,0.2583333,-5.668945,16.95833,-2.533333,90.61523,26.37817,0.1054688,0.9936522,-0.1303711,7712,0.3051758,0.4882813,1
-2.13623,1.433333,-5.795288,16.88333,-2.691667,91.29639,26.79016,0.09667969,0.9946288999999999,-0.1621094,8142,1.281738,4.150391,1
-0.7324219,0.2833333,-6.174316,17.04167,-4.091667,95.09766,26.19141,0.09716797,1.002441,-0.2397461,8542,0.8544921999999999,7.873535,1
1.098633,-0.3916667,-6.311646,16.78333,-3.583333,95.03174,25.68054,0.09326172,0.9877931,-0.22509769999999998,8942,0.3662109,-2.746582,1
