GyroY,MagZ,AngY,MagX,MagY,AngX,AngZ,AccX,AccY,AccZ,Timestamp,GyroZ,GyroX,Tag
0.4882813,179.0083,0.08239746,-97.05,-23.325,106.2927,-3.02124,-0.002441406,0.9526367,-0.3369141,0,-0.24414059999999999,-0.1831055,1
1.220703,0.03333333,-0.2636719,16.43333,-5.658333,106.3092,-2.2796629999999998,-0.0004882813,0.9589844,-0.3398438,382,1.708984,0.3051758,1
-2.01416,-0.1666667,-1.043701,16.50833,-5.533333,105.8862,-2.120361,0.008789063,0.9555663999999999,-0.3242188,1642,0.24414059999999999,-1.7700200000000001,1
-0.6103516,177.325,-1.109619,-99.925,-23.95,105.672,-2.329102,0.024902340000000002,0.9580078,-0.3242188,1832,1.403809,-1.342773,1
2.380371,0.06666667,-1.18103,16.425,-5.425,105.6061,-2.241211,0.01806641,0.9609375,-0.3310547,1992,-0.06103516,-0.9765625,1
2.13623,-0.05,-1.170044,16.575,-5.508333,105.6445,-1.983032,0.015136720000000001,0.9653318999999999,-0.3349609,2152,-0.793457,-0.8544921999999999,1
-1.464844,-0.2666667,-1.07666,16.41667,-5.6,105.4962,-1.94458,0.01660156,0.9643556,-0.315918,2362,-0.3662109,-2.075195,1
2.624512,-0.3416667,-0.8789062999999999,16.45,-5.258333,105.0458,-2.005005,0.024902340000000002,0.9663086,-0.3071289,2572,-1.098633,-1.6479489999999999,1
-1.708984,0.0,-1.016235,16.63333,-5.2,104.6558,-1.884155,0.015136720000000001,0.9672852999999999,-0.3164063,2782,1.037598,-2.319336,1
-0.793457,0.7083332999999999,-1.07666,16.63333,-5.266667,104.7162,-1.999512,0.006835938000000001,0.9663086,-0.3115234,2992,-0.12207029999999999,1.89209,1
-1.6479489999999999,-0.025,-1.257935,16.45,-5.608333,105.3094,-2.219238,0.02001953,0.9687500000000001,-0.3193359,3202,1.953125,1.037598,1
-0.8544921999999999,-0.04166667,-1.246948,16.44167,-5.191667,105.2435,-2.455444,0.01904297,0.9555663999999999,-0.315918,3412,-0.8544921999999999,-0.3662109,1
-0.06103516,0.2166667,-0.9942626999999999,16.45833,-5.558333,105.282,-2.559814,0.009277344,0.9633788999999999,-0.3208008,3612,0.42724609999999996,0.9765625,1
6.591797,0.025,-1.175537,16.325,-5.425,105.5402,-2.224731,0.03613281,0.9638671999999999,-0.3081055,3822,0.6713867,0.9155272,1
